	COLD_CONTROL_12H_SHOOT_REP1.cel	COLD_CONTROL_12H_SHOOT_REP2.cel	COLD_6H_SHOOT_REP1.cel	COLD_6H_SHOOT_REP2.cel	COLD_12H_SHOOT_REP1.cel	COLD_12H_SHOOT_REP2.cel
245039_at	7.68127093515665	7.78660800282186	7.64962705769393	7.43382014227806	7.70480131657936	7.77279591793817
245040_at	6.38618549520634	6.56555606527633	6.47867704688568	6.44784315135878	6.81658004383398	6.64834554490307
245041_at	6.56816423112706	6.58336161460011	7.5884512870328	7.65321308517943	7.23171300990555	7.26220514422236
245042_at	9.25769414251727	9.06609349127549	8.43894937268081	8.36935410706468	8.26904869971396	8.19222520044814
245043_at	6.85825122051228	6.91069304436495	6.53694117958878	6.62324352117764	6.17679334854466	6.29754506880843
245044_at	13.5769364370439	13.6501781608255	13.3869932794757	13.3489839037944	13.3698770632753	13.3965987280396
245045_at	9.03202054613007	9.01256015652366	9.20087584846466	9.25351856058633	9.25351856058633	9.32561922938161
245046_at	9.33494702185636	9.30835399035149	8.21598332371568	8.21961042918285	8.6206491848414	8.50435206289794
245047_at	12.9267279707285	13.0389657165177	12.8323437211737	12.8894890346353	12.932287602208	12.602783909056
245048_at	11.9212439918864	12.0089678334985	12.1707642256563	12.1597949151874	11.9174063767171	11.6541672010365
245049_at	8.95862266481649	9.23049546452278	9.75380701124757	9.5999274471787	9.61150202401538	9.50861567406106
245050_at	13.120728208665	13.2084905338166	13.266108404269	13.2921566983762	13.1464372603682	13.0103356172189
245051_at	8.71276319060251	8.7702300406956	9.83919470381012	9.97326909824358	8.69641715117499	8.74443745796221
245052_at	7.09458548029955	7.62944029603078	7.76511662219741	7.87271233841613	7.54399333942847	7.1661808399903
245053_at	5.09702752334992	5.15155742462579	4.99275508386241	5.07456117333042	5.08755992582544	5.22103670463773
245054_at	6.78943523749486	6.71687301272686	6.45322454846582	6.36745644403453	6.58306512025615	6.76727618155979
245055_at	5.72098943944568	5.79389905716606	5.42853759947681	5.19906207203459	5.33174294817385	5.32201133954774
245056_at	5.35720928194626	5.59696964057201	5.70155248802235	5.68080822964247	5.68142745339362	5.60358244362777
245057_at	5.39842019903471	5.4884080132781	5.32524885715608	5.43434064321377	5.53229808328617	5.48340021623967
245058_at	4.40863448449179	4.42958296394841	4.35578745701073	4.45923110212592	4.53673698586984	4.55099823278395
245059_at	8.53968604723085	8.5302321639993	8.60429280339812	8.48472200255881	8.54165246465446	8.56871856784836
245060_at	10.5013190175407	10.4326028133844	10.4578291697001	10.4566663640507	10.6365017531416	10.5066978110409
245061_at	14.1594248718261	14.1830167230717	14.1285778666417	14.1670414171075	14.1462486998265	14.1450170106762
245062_at	8.63598224109801	8.61361626204474	8.40844448959205	8.48161908954414	8.44435838097312	8.44598174118894
245063_at	6.80247910879586	6.83094078492119	6.42440327684356	6.95652230759048	6.91367838095602	6.99671370372718
245064_at	5.78154421802196	5.78619841216248	5.489624238859	5.74288545882402	6.11702691733591	5.97035908294006
245065_at	8.98223569265142	8.93109514923443	8.67494923969434	8.7059075737722	8.62733151629039	8.62968421319668
245066_at	9.21833808107887	9.1730814134261	9.74655971304159	9.85990884658884	9.77055693301064	9.84634876689994
245067_at	9.89217078584827	10.012095656616	9.56662570361838	9.55474440767329	9.56162724508935	9.68017973029638
245068_at	4.52558072420014	4.48193522098314	4.3491017347665	4.54577409285573	4.54034498798577	4.53394115294067
245069_at	4.87860053052672	4.7547667439683	4.74547784633819	4.81689216906904	4.80552644113924	4.91302884952764
245070_at	4.50109799631918	4.55350349216966	4.74740986056054	4.64280893976156	4.68074844842926	4.65051743878602
245071_at	5.01875439997433	5.14761363619776	5.10297963688547	5.21905908305396	5.18819982347975	5.02402205512384
245072_s_at	4.76124065199814	4.74162099848898	4.70462681636735	4.83348763595317	4.85828819163538	4.69206315073733
245073_at	4.67667472391678	4.60146123982382	4.53695994399666	4.77965760858169	4.77480650323297	4.67853105397262
245074_at	8.24105339672766	7.91586596193217	7.0296677617778	6.67566128646639	6.75063227397053	6.72248034474402
245075_at	6.54659756902132	6.7563470437294	6.26852868525744	6.13659495882954	5.75566672095851	5.69877752024682
245076_at	5.04172120133636	5.22366088264816	5.38332297497447	6.27161532657405	5.3131669824537	5.03048148179219
245077_at	5.55262657899267	5.56276644473336	5.80283341932767	5.72617644909003	5.72647293356838	5.59896229221472
