logFC,AveExpr,t,P.Value,adj.P.Val,B
-4.560287008662173,8.693172995480403,-51.80943505840023,1.5789669474770433e-11,9.46673533635114e-9,17.302753809405047
6.303044881855826,7.6328259571839085,51.65111246752898,1.6186000794287348e-11,9.46673533635114e-9,17.280049687023876
5.322562788383145,8.284880385634832,50.76085812124,1.863365413060342e-11,1.056754016715118e-8,17.15060055144143
5.672666195863552,10.120820269291045,50.523268988782625,1.935531358565627e-11,1.056754016715118e-8,17.115533401914327
3.932824660276097,10.025844110292374,50.48126191318596,1.9486144309352543e-11,1.056754016715118e-8,17.109310206508866
3.9190943435141685,8.75158230063946,50.09448578876726,2.0738548380298645e-11,1.056754016715118e-8,17.05168139095929
3.653383718453953,9.081152354440825,50.087825163000524,2.0760893360492358e-11,1.056754016715118e-8,17.05068373928522
5.085974904076011,9.106921073845582,50.06198335171064,2.0847843381052307e-11,1.056754016715118e-8,17.04681137692502
6.897731614205824,9.605590624474553,49.63322561049588,2.2351839550335777e-11,1.1083596959633893e-8,16.98216900809188
4.272004836337429,11.9191065539254,49.44488332957479,2.3050718769619587e-11,1.1186955215638783e-8,16.953536658828384
4.613714294776947,10.6343706405686,49.0204884597845,2.4717272364816372e-11,1.1745853805030447e-8,16.88848240110086
4.822792357064203,10.393688202444926,48.749555064255716,2.5851814848286207e-11,1.1866627546222874e-8,16.84655869662783
4.115494982978064,10.015828996381936,48.61143559901634,2.645261370245578e-11,1.1866627546222874e-8,16.825067189200226
5.350200745587511,8.086777224261981,48.593418414699045,2.653213524144527e-11,1.1866627546222874e-8,16.822257733158715
4.585051332717966,10.002577243356264,48.313866491432314,2.780101407029053e-11,1.2195021748910134e-8,16.77848919374904
4.359450253275924,9.560868227714273,48.00467587589866,2.928440543118449e-11,1.2603345054439965e-8,16.729688836599223
4.700215724480273,11.631859275845217,47.37916155579722,3.256521771345374e-11,1.3755789185997774e-8,16.629684972112422
5.483625177602982,7.063870968338142,47.13327116483767,3.396633600205599e-11,1.4086765894670856e-8,16.589897863272192
3.5903540006377694,7.542677163764221,46.88406039830676,3.54558139756386e-11,1.4441912799719936e-8,16.549295582352343
4.002687494417334,11.314065642308282,46.73565057276811,3.637759756049525e-11,1.4557421058857836e-8,16.524982075067875
3.817436435724974,10.287097393562988,46.53452270212188,3.767005747831212e-11,1.4814724328970681e-8,16.49187093134612
3.5691544003852247,10.775163306219612,46.37394354533903,3.873901211327962e-11,1.497689603904929e-8,16.46530127175815
4.845594925836876,8.37595618327666,46.2612653106359,3.9509428550212756e-11,1.5020167753839218e-8,16.446585906454118
4.464964827065263,8.709383936708011,46.14069167295827,4.035293755138415e-11,1.5089352549952006e-8,16.426493525287206
3.3246896504894536,9.094527515831652,45.869761070319775,4.232308667246424e-11,1.546164328036353e-8,16.38109646299732
3.1856279469240087,7.946557688154336,45.81898236260995,4.2704231769526626e-11,1.546164328036353e-8,16.37254938236694
4.636592808408457,9.669237653106592,45.2462326996162,4.72810416763905e-11,1.6851258759976052e-8,16.275289479988913
3.95300033537998,8.891509451409387,45.1026598440854,4.851297842241873e-11,1.7024323658698018e-8,16.250660329806195
3.242333150842616,9.817548094577488,44.651748685322445,5.2622651047136707e-11,1.8186707127048307e-8,16.172650073472177
4.266450043543852,9.341336195848505,44.55051619372258,5.3598147144284524e-11,1.8247369199419852e-8,16.154997533772196
5.690035964004408,10.569565748494869,44.21007625476126,5.703071804320298e-11,1.913045115537441e-8,16.095254997252
5.761708928832054,8.676711290471808,43.87482103897783,6.065400125000154e-11,2.0050982152355584e-8,16.035846675901503
3.971902874620546,8.863352637201244,43.594524665421815,6.388236322988138e-11,2.0624638417975444e-8,15.98573280911461
3.553968686204164,10.471558072228428,43.55615313336692,6.433914167425765e-11,2.0624638417975444e-8,15.978840614242257
3.6403828054756797,10.673379782793198,43.49275598597835,6.510188365165419e-11,2.0624638417975444e-8,15.967436516142454
4.306806844114657,9.72300825745459,43.28057778651999,6.772944479388481e-11,2.1163131996554963e-8,15.929115612290472
3.852968459311394,9.289669931908648,42.999362787111835,7.139732003299404e-11,2.2007741485845864e-8,15.877958841034028
4.1090112637179095,6.387988782254191,42.83875641669862,7.3591853938094706e-011,2.2381735844372536e-8,15.848552745212581
3.0410217117435154,6.475184334720248,42.66990546501418,7.598105952927047e-11,2.280431536661394e-8,15.817487110170775
